what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1319047024984
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1319047024984
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1319047024984
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1319047024984
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1319047024984
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1319047024984
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1319047024984
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1319047024984
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1319047025004
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1319047025004
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1319047025004
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1319047025004
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1319047025004
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1319047025014
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1319047025014
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1319047025014
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1319047025014
started,bundle,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.adt",1319047025014
started,bundle,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms",1319047025024
started,bundle,com.android.ide.eclipse.traceview,14.0.0.v201110171935-205994,"com.android.ide.eclipse.traceview",1319047025024
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1319047025024
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1319047025034
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1319047025034
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1319047025034
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1319047025034
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1319047025034
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1319047025034
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1319047025034
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1319047025034
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1319047025044
os,sysinfo,,,"win32",1319047025044
arch,sysinfo,,,"x86_64",1319047025044
ws,sysinfo,,,"win32",1319047025044
locale,sysinfo,,,"en_US",1319047025044
processors,sysinfo,,,"4",1319047025044
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1319047025044
java.runtime.version,sysinfo,,,"1.7.0-b147",1319047025044
java.specification.name,sysinfo,,,"Java Platform API Specification",1319047025044
java.specification.vendor,sysinfo,,,"Oracle Corporation",1319047025044
java.specification.version,sysinfo,,,"1.7",1319047025044
java.vendor,sysinfo,,,"Oracle Corporation",1319047025044
java.version,sysinfo,,,"1.7.0",1319047025044
java.vm.info,sysinfo,,,"mixed mode",1319047025044
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1319047025044
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1319047025044
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1319047025044
java.vm.specification.version,sysinfo,,,"1.7",1319047025044
java.vm.vendor,sysinfo,,,"Oracle Corporation",1319047025044
java.vm.version,sysinfo,,,"21.0-b17",1319047025044
